Taxon,Swamp_1.1,Swamp_1.2,Swamp_1.3,Swamp_2.1,Swamp_2.2,Swamp_2.3,Swamp_3.1,Swamp_3.2,Swamp_3.3,NaCihadle_1.1,NaCihadle_1.2,NaCihadle_1.3,NaCihadle_2.1,NaCihadle_2.2,NaCihadle_2.3,NaCihadle_3.1,NaCihadle_3.2,NaCihadle_3.3
Staurastrum_hirsutum_Ralfs,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
Staurastrum_hystrix_Ralfs,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_inflexum_Br_b.,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_micron_W._et_G._S._West,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_minimum_Coesel,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_polymorphum_Ralfs,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_punctulatum_Ralfs,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Staurastrum_scabrum_Ralfs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_simonyi_Heimerl,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Staurastrum_teliferum_Ralfs,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_tetracerum_Ralfs,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_sp._1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_sp._2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Staurastrum_sp._3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Staurodesmus_dejectus_(Ralfs)_Teiling,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Staurodesmus_extensus_(Borge)_Teiling,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
Staurodesmus_incus_(Br_b.)_Teiling,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Tetmemorus_brebissonii_Ralfs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tetmemorus_granulatus_Ralfs,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
Tetmemorus_laevis_Ralfs,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Xanthidium_antilopaeum_var._laeve_Schmidle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Xanthidium_armatum_Ralfs,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
