row.num,Taxon,Swamp,NaCihadle
129,Cosmarium_paragranatoides_Skuja,0,0
130,Cosmarium_prominulum_var._subundulatum_W._et_G._S._West,1,0
131,Cosmarium_pseudoornatum_B._Eichler_et_Gutw.,0,0
132,Cosmarium_pseudopyramidatum__P._Lundell,1,0
133,Cosmarium_cf._pseudoretusum_F._Ducell,0,0
134,Cosmarium_pyramidatum_Ralfs,1,0
135,Cosmarium_regnellii_Wille,0,0
136,Cosmarium_sphagnicolum_W._et_G._S._West,1,0
137,Cosmarium_tinctum_Ralfs,1,0
138,Cosmarium_sp._1,1,0
139,Cosmarium_sp._2_(smaller_C._contractum),0,0
140,Cosmarium_sp._3,0,0
141,Cylindrocystis_brebissonii_De_Bary,1,1
142,Cylindrocystis_crassa_De_Bary,0,1
143,Cylindrocystis_gracilis_I._Hirn,1,1
144,Euastrum_ansatum_Ralfs,0,0
145,Euastrum_binale_Ralfs,1,1
146,Euastrum_denticulatum_F._Gay,0,0
147,Euastrum_elegans_Ralfs,0,0
148,Euastrum_gayanum_De_Toni,0,0
149,Euastrum_humerosum_Ralfs,0,0
150,Euastrum_insigne_Ralfs,0,1
151,Euastrum_oblongum_Ralfs,0,0
152,Euastrum_pectinatum_Ralfs,0,0
153,Euastrum_pinnatum_Ralfs,0,0
154,Euastrum_verrucosum_Ralfs,0,0
155,Haplotaenium_minutum_(Ralfs)_Bando,0,0
156,Haplotaenium_rectum_(Delponte)_Bando,1,0
157,Mesotaenium_endlicherianum_N_geli,0,0
158,Micrasterias_jenneri_Ralfs,1,0
159,Micrasterias_oscitans_Ralfs,1,0
160,Micrasterias_rotata_Ralfs,1,0
161,Micrasterias_thomasiana_var._notata_(Nordstedt)_Gr_nblad,1,0
162,Micrasterias_truncata_Ralfs,1,0
163,Netrium_digitus_Itzigs._et_Rothe,1,1
164,Netrium_oblongum_(De_Bary)_Lôtkem.,1,0
165,Penium_cylindrus_Ralfs,1,0
166,Penium_spirostriolatum_J._Barker,0,0
167,Pleurotaenium_ehrenbergii_(Ralfs)_De_Bary,0,0
168,Staurastrum_aculeatum_Ralfs,0,0
169,Staurastrum_hirsutum_Ralfs,0,0
170,Staurastrum_hystrix_Ralfs,0,0
171,Staurastrum_inflexum_Br_b.,1,0
172,Staurastrum_micron_W._et_G._S._West,0,0
173,Staurastrum_minimum_Coesel,0,0
174,Staurastrum_polymorphum_Ralfs,1,0
175,Staurastrum_punctulatum_Ralfs,1,0
176,Staurastrum_scabrum_Ralfs,1,0
177,Staurastrum_simonyi_Heimerl,1,0
178,Staurastrum_teliferum_Ralfs,1,0
179,Staurastrum_tetracerum_Ralfs,0,0
180,Staurastrum_sp._1,0,0
181,Staurastrum_sp._2,0,0
182,Staurastrum_sp._3,0,0
183,Staurodesmus_dejectus_(Ralfs)_Teiling,1,0
184,Staurodesmus_extensus_(Borge)_Teiling,0,0
185,Staurodesmus_incus_(Br_b.)_Teiling,1,0
186,Tetmemorus_brebissonii_Ralfs,0,0
187,Tetmemorus_granulatus_Ralfs,1,1
188,Tetmemorus_laevis_Ralfs,1,1
189,Xanthidium_antilopaeum_var._laeve_Schmidle,0,0
190,Xanthidium_armatum_Ralfs,1,1
191,Actinotaenium_cruciferum_(De_Bary)_Teiling,0,1
192,Actinotaenium_cucurbita_(Ralfs)_Teiling,1,1
193,Actinotaenium_silvae-nigrae_(Rabanus)_Kouwets_et_Coesel,0,0
194,Closterium_cf._abruptum_W._West,0,0
195,Closterium_angustatum_Ralfs,0,0
196,Closterium_attenuatum_Ralfs,0,0
197,Closterium_baillyanum_(Ralfs)_Br_b.,1,0
198,Closterium_calosporum_Wittr.,0,0
199,Closterium_costatum_Ralfs,0,0
200,Closterium_dianae_Ralfs,0,0
201,Closterium_directum_W._Archer,0,0
202,Closterium_gracile_Ralfs,1,0
203,Closterium_juncidum_Ralfs,1,0
204,Closterium_lineatum_Ralfs,0,0
205,Closterium_lunula_Ralfs,0,0
206,Closterium_cf._macilentum_Br_b.,0,0
207,Closterium_navicula_(Br_b.)_Lôtkem.,0,0
208,Closterium_parvulum_N_geli,0,0
209,Closterium_pronum_Br_b.,0,0
210,Closterium_setaceum_Ralfs,0,0
211,Closterium_striolatum_Ralfs,1,1
212,Cosmarium_amoenum_Ralfs,1,0
213,Cosmarium_angulosum_Br_b.,0,0
214,Cosmarium_blyttii_Wille,0,0
215,Cosmarium_contractum_Kirchn.,0,0
216,Cosmarium_difficile_Lôtkem.,0,0
217,Cosmarium_discrepans___astn__et_Kouwets,1,0
218,Cosmarium_goniodes_var._subturgidum_W._et_G._S._West,0,0
219,Cosmarium_margaritiferum_Ralfs,0,0
220,Cosmarium_messikommeri_Coesel,0,0
221,Cosmarium_obsoletum_(Hantzsch)_Reinsch,1,0
222,Cosmarium_ordinatum_(BËrges.)_W._et_G_.S._West,0,0
223,Cosmarium_ornatum_Ralfs,0,0
224,Cosmarium_paragranatoides_Skuja,0,0
225,Cosmarium_prominulum_var._subundulatum_W._et_G._S._West,0,0
226,Cosmarium_pseudoornatum_B._Eichler_et_Gutw.,0,0
227,Cosmarium_pseudopyramidatum__P._Lundell,1,0
228,Cosmarium_cf._pseudoretusum_F._Ducell,0,0
229,Cosmarium_pyramidatum_Ralfs,0,0
230,Cosmarium_regnellii_Wille,0,0
231,Cosmarium_sphagnicolum_W._et_G._S._West,1,0
232,Cosmarium_tinctum_Ralfs,1,0
233,Cosmarium_sp._1,0,0
234,Cosmarium_sp._2_(smaller_C._contractum),0,0
235,Cosmarium_sp._3,0,0
236,Cylindrocystis_brebissonii_De_Bary,1,1
